Date,Actual,Prediction,Residual,Month
2025-01-28,4096,4077.63,18.36999999999989,2025-01
2025-01-27,4161,4136.165,24.835000000000036,2025-01
2025-01-26,4241,4219.255,21.74499999999989,2025-01
2025-01-23,4621,4598.5,22.5,2025-01
2025-01-22,4717,4695.49,21.51000000000022,2025-01
2025-01-21,4728,4686.295,41.70499999999993,2025-01
2025-01-20,4638,4661.615,-23.61499999999978,2025-01
2025-01-19,4628,4666.07,-38.06999999999971,2025-01
2025-01-16,4881,4856.845,24.154999999999745,2025-01
2025-01-15,4903,4891.995,11.00500000000011,2025-01
2025-01-14,4957,4940.535,16.465000000000146,2025-01
2025-01-13,5019,5012.93,6.069999999999709,2025-01
2025-01-12,5092,5099.55875,-7.5587500000001455,2025-01
2025-01-09,5507,5487.12,19.88000000000011,2025-01
2025-01-08,5605,5603.7,1.300000000000182,2025-01
2025-01-07,5703,5695.208309523809,7.791690476191434,2025-01
2025-01-06,5769,5730.818214285715,38.18178571428507,2025-01
2025-01-05,5882,5826.032011446887,55.96798855311317,2025-01
2025-01-02,6292,6218.47524547593,73.52475452406998,2025-01
2025-01-01,6405,6364.324315476189,40.67568452381056,2025-01
2024-12-30,6454,6435.542065476191,18.457934523808945,2024-12
2024-12-29,6465,6456.7298511904755,8.270148809524471,2024-12
2024-12-26,6707,6671.671333333333,35.32866666666723,2024-12
2024-12-25,6689,6675.765205627706,13.234794372294346,2024-12
2024-12-24,6622,6621.7956024531,0.20439754689959955,2024-12
2024-12-23,6548,6576.740444444444,-28.74044444444371,2024-12
2024-12-22,6595,6604.838281024529,-9.838281024529351,2024-12
2024-12-19,6600,6647.053626984125,-47.053626984125,2024-12
2024-12-18,6598,6610.973828643577,-12.97382864357678,2024-12
2024-12-17,6506,6549.46980952381,-43.46980952381,2024-12
2024-12-16,6454,6445.570595238097,8.429404761903243,2024-12
2024-12-15,6408,6410.173607142855,-2.173607142854962,2024-12
2024-12-12,6481,6451.793476190477,29.206523809522878,2024-12
2024-12-11,6402,6438.101523809524,-36.101523809524224,2024-12
2024-12-10,6310,6344.843904761905,-34.84390476190492,2024-12
2024-12-09,6268,6285.290374999999,-17.290374999998676,2024-12
2024-12-08,6286,6280.907319444446,5.09268055555367,2024-12
2024-12-05,6310,6312.110821428575,-2.1108214285750364,2024-12
2024-12-04,6269,6279.62560714286,-10.625607142859735,2024-12
2024-12-03,6192,6187.982281746034,4.01771825396645,2024-12
2024-12-02,6061,6090.1914642718375,-29.191464271837503,2024-12
2024-12-01,5986,6005.412146806797,-19.412146806796954,2024-12
2024-11-28,5963,5979.222012867641,-16.222012867640842,2024-11
2024-11-27,5862,5906.35767330642,-44.35767330642011,2024-11
2024-11-26,5826,5851.464524942934,-25.464524942934077,2024-11
2024-11-25,5715,5752.978845238094,-37.978845238094436,2024-11
2024-11-24,5664,5699.45804229104,-35.45804229104033,2024-11
2024-11-21,5850,5834.203156329781,15.79684367021855,2024-11
2024-11-20,5879,5876.409499128065,2.590500871934637,2024-11
2024-11-19,5844,5839.176873501498,4.823126498501551,2024-11
2024-11-18,5819,5825.612184287935,-6.612184287934724,2024-11
2024-11-17,5816,5822.352320831946,-6.35232083194569,2024-11
2024-11-14,6025,6019.654135527242,5.345864472757967,2024-11
2024-11-13,5966,5972.181217423215,-6.181217423214548,2024-11
2024-11-12,5975,5972.524309495792,2.475690504207705,2024-11
2024-11-11,5963,5938.831417470109,24.168582529890955,2024-11
2024-11-07,6084,6078.8892173374015,5.110782662598467,2024-11
2024-11-06,6086,6070.767600204534,15.232399795466335,2024-11
2024-11-05,6045,6042.277646575345,2.7223534246550116,2024-11
2024-11-04,6007,5994.354541398389,12.645458601610699,2024-11
2024-11-03,5990,5985.427013375538,4.572986624461919,2024-11
2024-10-31,6148,6153.704320998447,-5.704320998446747,2024-10
2024-10-30,6149,6151.450057539684,-2.450057539684167,2024-10
2024-10-29,6106,6107.236657190032,-1.2366571900320196,2024-10
2024-10-28,6008,6014.6819061903225,-6.681906190322479,2024-10
2024-10-27,5974,5992.857205900483,-18.857205900482768,2024-10
2024-10-23,6077,6091.842063269246,-14.842063269245955,2024-10
2024-10-22,6043,6036.09952766933,6.9004723306698,2024-10
2024-10-21,5966,5960.284441627781,5.715558372218766,2024-10
2024-10-20,5918,5938.084935833998,-20.084935833998316,2024-10
2024-10-17,6076,6073.79589038739,2.2041096126104094,2024-10
2024-10-16,6036,6039.132670086147,-3.1326700861473,2024-10
2024-10-15,6013,5995.360186448146,17.639813551853877,2024-10
2024-10-14,5935,5942.322097294162,-7.322097294161722,2024-10
2024-10-13,5889,5908.352380947512,-19.352380947511847,2024-10
2024-10-10,6075,6037.163100708713,37.83689929128741,2024-10
2024-10-09,6047,6043.830596896438,3.1694031035622174,2024-10
2024-10-08,6013,6008.649238964489,4.350761035510914,2024-10
2024-10-07,5968,5969.570181006927,-1.5701810069267594,2024-10
2024-10-03,6118,6094.939115383797,23.06088461620311,2024-10
2024-10-02,6091,6074.448563313426,16.551436686573652,2024-10
2024-10-01,6040,6046.975800039526,-6.975800039525893,2024-10
2024-09-30,5967,5984.870952203759,-17.87095220375886,2024-09
2024-09-29,5925,5935.86811690346,-10.86811690345985,2024-09
2024-09-26,6090,6080.028104922038,9.971895077961562,2024-09
2024-09-25,6050,6045.88828885545,4.1117111445501,2024-09
2024-09-24,6023,6026.70737086634,-3.7073708663401703,2024-09
2024-09-23,6002,5991.833360461422,10.166639538578238,2024-09
2024-09-22,5989,5976.297741236457,12.702258763542886,2024-09
2024-09-19,6270,6268.5415416666665,1.4584583333335104,2024-09
2024-09-18,6245,6227.223401695527,17.776598304472827,2024-09
2024-09-17,6227,6237.715892010768,-10.715892010767675,2024-09
2024-09-16,6229,6224.653918706293,4.346081293707357,2024-09
2024-09-15,6234,6238.933998071371,-4.933998071371207,2024-09
2024-09-13,6326,6306.442593253969,19.55740674603112,2024-09
2024-09-12,6360,6371.30369047619,-11.30369047619024,2024-09
2024-09-11,6410,6409.971805555555,0.028194444445034605,2024-09
2024-09-10,6396,6404.678892857142,-8.678892857142273,2024-09
2024-09-09,6353,6363.903750000001,-10.90375000000131,2024-09
2024-09-08,6312,6304.657128968258,7.342871031742106,2024-09
2024-09-05,6448,6426.261126984131,21.738873015869103,2024-09
2024-09-04,6375,6393.099035714287,-18.09903571428731,2024-09
2024-09-03,6272,6286.0041071428595,-14.004107142859539,2024-09
2024-09-02,6192,6213.543359126984,-21.543359126983887,2024-09
2024-08-29,6250,6253.818890873017,-3.8188908730171534,2024-08
2024-08-28,6227,6238.848927558553,-11.848927558553441,2024-08
2024-08-27,6152,6156.477362012986,-4.477362012986305,2024-08
2024-08-22,6054,6063.288191751165,-9.288191751164959,2024-08
2024-08-21,6028,6029.980373071653,-1.980373071653048,2024-08
2024-08-20,5995,6005.398926177622,-10.398926177622343,2024-08
2024-08-19,5865,5889.204734317072,-24.204734317071598,2024-08
2024-08-18,5821,5823.893708638584,-2.8937086385840303,2024-08
2024-08-15,5895,5914.616658220113,-19.616658220113095,2024-08
2024-08-14,5987,5969.960959035967,17.03904096403312,2024-08
2024-08-13,5981,5971.038625179586,9.961374820413766,2024-08
2024-08-12,5903,5913.361093010688,-10.36109301068791,2024-08
